gamer_id,gamer_name,password,highest_score
100001,CyberDrake,RX208B342,251
100002,PixelProwler,LD719J653,829
100003,ShadowStryker,YK238K291,382
100004,NeonNinja,PI801K964,984
100005,QuantumQuester,NR872O505,91
100006,AlphaAxel,ZR393P962,399
100007,DigitalDemon,UH272E134,538
100008,BinaryBlitz,PI660D696,719
100009,MysticMarauder,LK603Z844,343
100010,TerraTitan,IH904Q114,604
100011,GalacticGuardian,RC324M628,537
100012,OmegaOps,RY157D951,142
100013,LunarLancer,MV323X378,186
100014,PhotonPhantom,XQ786W793,443
100015,HelixHunter,NJ398X429,102
100016,VortexVandal,OL756L107,882
100017,PulsePredator,VI738S152,9
100018,ElectroEnigma,AZ924W829,41
100019,MatrixMaverick,TT526W136,725
100020,VirtueVanguard,GI450P513,71
100021,ArcaneArcher,CW383Z771,581
100022,NovaNomad,EK390B455,479
100023,SilicaSlayer,JZ259Y744,137
100024,CryoCrusader,EP418P482,379
100025,BitBattler,TG683H988,918
100026,NexusKnight,PK972Z241,392
100027,VoltViking,WZ494C860,68
100028,CodeConqueror,XL327M831,883
100029,RetroRogue,HL712O751,181
100030,FirewallFury,IT399D696,136
100031,KernelKombatant,ZA100B767,742
100032,DataDruid,EK994W702,967
100033,CacheCrasher,SM358S567,456
100034,SyncSorcerer,GL886D401,514
100035,ByteBlade,FA368R847,672
100036,SignalSniper,XN375I306,271
100037,WireWraith,LD263X463,143
100038,SiliconSpartan,IR500G319,319
100039,QuantumQuasar,WW192T387,244
100040,LogicLancer,TY569A694,541
100041,ProtocolPaladin,LW250A558,98
100042,BitrateBarbarian,PT837F872,920
100043,CipherSamurai,LZ663Y321,443
100044,PortalPirate,GT411Y477,446
100045,VectorValkyrie,KY986E499,354
100046,HoloHarbinger,OI130U953,285
100047,PixelPaladin,TU915V535,918
100048,ModMatrix,GK197U250,232
100049,DigitalDreadnought,DB333U772,191
100050,TerraTrooper,HX376C946,694
100051,NetNecromancer,ER432H258,466
100052,CodeCavalier,CX363W664,60
100053,RamRaider,AC550W220,227
100054,IsoInquisitor,PQ347Z600,729
100055,BufferBerserker,ED551Y437,696
100056,QuantumQueen,IN104T600,109
100057,SpriteSpecter,YF325I380,215
100058,BinaryBaron,DW402U718,155
100059,VertexVagabond,JE107Z814,81
100060,PixelPharaoh,UH137B717,276
100061,GlyphGuard,TJ359P476,118
100062,DebugDuelist,QJ543N519,549
100063,ScriptSword,NC988W622,978
100064,TrojanTemplar,JO666B681,650
100065,InterfaceInferno,NK633C789,547
100066,PixelPugilist,YZ804S379,352
100067,LogicLegionnaire,JG409V635,320
100068,MalwareMonarch,ST440T500,913
100069,CodecCommander,AJ631V217,780
100070,RenderRanger,XL935F636,88
100071,TechnoTempest,TY281U211,688
100072,CircuitCenturion,LO134D853,264
100073,StreamStalker,MN500K524,671
100074,BitBuccaneer,JZ390T556,539
100075,EtherElemental,SD309O380,420
100076,VoxelVanguard,SC433W946,538
100077,LogicLich,SQ412Y919,404
100078,CipherCentaur,CP212U745,174
100079,PortProwler,XM210F736,887
100080,CryptoCrusader,OC489O286,415
100081,EchoElite,YN924O804,192
100082,LogicLord,LW689K706,353
100083,DataDynamo,TB588K497,402
100084,InputImp,RF995P766,527
100085,OutputOverlord,ET690I533,928
100086,RamReaper,BW362F682,981
100087,DiskDjinn,DL565V298,136
100088,ModemMystic,QM400G283,562
100089,LinkLurker,HC108R713,881
100090,ScriptSpartan,UE335H801,313
100091,TerminalTitan,WG668K400,326
100092,BitBishop,KE815S197,514
100093,NanoNomarch,ZH129P801,65
100094,DigitalDuke,ZY331A279,373
100095,VramViking,UE578D280,904
100096,PluginPaladin,QW323I443,485
100097,ByteBaronet,IM320E363,32
100098,CacheCount,GP103S723,482
100099,InterfaceIcon,DZ479S617,68
100100,RamRogue,XK144E732,730
